Room Type,Date,Rate,Reason,Demand Tier,Rate Multiplier,Source Status,Review / Reprice Date,Source Version
twin,2027-04-17,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-18,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-18,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-19,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-19,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-20,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-20,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-21,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-21,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-22,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-22,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-23,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-23,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-24,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-24,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-25,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-25,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-26,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-26,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-27,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-27,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-28,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-28,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-29,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-29,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-30,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-30,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-05-01,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-01-31,1.0.0
twin,2027-05-01,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-01-31,1.0.0
double,2027-05-02,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-31,1.0.0
twin,2027-05-02,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-31,1.0.0
double,2027-05-03,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-31,1.0.0
twin,2027-05-03,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-31,1.0.0
double,2027-05-04,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-31,1.0.0
twin,2027-05-04,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-31,1.0.0
double,2027-05-05,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-05,1.0.0
twin,2027-05-05,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-05,1.0.0
double,2027-05-06,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-05,1.0.0
twin,2027-05-06,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-05,1.0.0
double,2027-05-07,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-05,1.0.0
twin,2027-05-07,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-05,1.0.0
double,2027-05-08,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-05-08,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-05-15,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-05-15,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-05-19,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-18,1.0.0
twin,2027-05-19,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-18,1.0.0
double,2027-05-20,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-18,1.0.0
twin,2027-05-20,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-18,1.0.0
double,2027-05-22,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-05-01,1.0.0
twin,2027-05-22,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-05-01,1.0.0
double,2027-05-29,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-05-01,1.0.0
twin,2027-05-29,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-05-01,1.0.0
double,2027-06-01,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-01,1.0.0
twin,2027-06-01,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-01,1.0.0
double,2027-06-02,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-01,1.0.0
twin,2027-06-02,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-01,1.0.0
double,2027-06-03,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-02-01,1.0.0
twin,2027-06-03,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-02-01,1.0.0
double,2027-06-04,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-02-01,1.0.0
twin,2027-06-04,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-02-01,1.0.0
double,2027-06-05,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-01-06,1.0.0
twin,2027-06-05,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-01-06,1.0.0
double,2027-06-06,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-01,1.0.0
twin,2027-06-06,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-01,1.0.0
double,2027-06-12,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-06-12,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-06-14,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-15,1.0.0
twin,2027-06-14,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-15,1.0.0
double,2027-06-15,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-15,1.0.0
twin,2027-06-15,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-15,1.0.0
double,2027-06-19,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-06-19,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-06-26,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-06-26,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-07-01,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-03-03,1.0.0
twin,2027-07-01,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-03-03,1.0.0
double,2027-07-02,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-03,1.0.0
twin,2027-07-02,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-03,1.0.0
double,2027-07-03,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-03,1.0.0
twin,2027-07-03,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-03,1.0.0
double,2027-07-04,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-03,1.0.0
twin,2027-07-04,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-03,1.0.0
double,2027-07-10,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-07-10,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-07-16,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-17,1.0.0
twin,2027-07-16,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-17,1.0.0
double,2027-07-17,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-04-17,1.0.0
twin,2027-07-17,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-04-17,1.0.0
double,2027-07-18,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-04-18,1.0.0
twin,2027-07-18,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-04-18,1.0.0
double,2027-07-19,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-18,1.0.0
twin,2027-07-19,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-18,1.0.0
double,2027-07-20,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-18,1.0.0
twin,2027-07-20,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-04-18,1.0.0
double,2027-07-24,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-06-09,1.0.0
twin,2027-07-24,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-06-09,1.0.0
double,2027-07-25,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-06-09,1.0.0
twin,2027-07-25,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-06-09,1.0.0
double,2027-07-28,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-05-29,1.0.0
twin,2027-07-28,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-05-29,1.0.0
double,2027-07-31,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-07-31,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-08-07,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-08-07,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-08-12,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-06-13,1.0.0
twin,2027-08-12,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-06-13,1.0.0
double,2027-08-14,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-08-14,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-08-21,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-08-21,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-08-28,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-08-28,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-01,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-01,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-02,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-02,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-03,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-03,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-04,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-04,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-05,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-05,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-06,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-06,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-07,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
twin,2027-09-07,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
double,2027-09-08,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
twin,2027-09-08,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
double,2027-09-09,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
twin,2027-09-09,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
double,2027-09-10,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
twin,2027-09-10,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
double,2027-09-11,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
twin,2027-09-11,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-11,1.0.0
double,2027-09-12,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-12,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-13,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-13,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-14,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-14,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-15,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-09-15,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-09-16,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-16,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-17,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-17,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-18,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-18,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-19,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-19,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
